N° de Commande,Date de Commande,Date de Livraison,Id Client,Canal,Id Produit,Quantité
CDE - 000225,01/01/17,2017-01-13,Id28,Grossiste,4,6
CDE - 0003378,01/01/17,2017-01-06,Id7,Détaillant,5,11
CDE - 0003901,01/01/17,2017-01-05,Id12,Grossiste,13,5
CDE - 0005126,01/01/17,2017-01-17,Id5,Grossiste,1,6
CDE - 0005614,01/01/17,2017-01-07,Id27,Export,6,7
CDE - 0005781,01/01/17,2017-01-15,Id44,Grossiste,9,8
CDE - 0002911,01/02/17,2017-01-15,Id37,Grossiste,9,6
CDE - 0003527,01/02/17,2017-01-19,Id8,Grossiste,9,11
CDE - 0004792,01/02/17,2017-01-13,Id14,Grossiste,9,6
CDE - 0005414,01/02/17,2017-01-05,Id47,Grossiste,14,7
CDE - 0005609,01/02/17,2017-01-10,Id22,Détaillant,1,7
CDE - 0006308,01/02/17,2017-01-19,Id39,Grossiste,1,8
CDE - 0006534,01/02/17,2017-01-11,Id46,Détaillant,10,9
CDE - 0007139,01/02/17,2017-01-09,Id45,Grossiste,1,6
CDE - 000450,01/03/17,2017-01-19,Id20,Grossiste,13,7
CDE - 000848,01/03/17,2017-01-12,Id36,Grossiste,1,9
CDE - 0001724,01/03/17,2017-01-19,Id30,Grossiste,9,11
CDE - 0002078,01/03/17,2017-01-14,Id5,Grossiste,13,5
CDE - 0002795,01/03/17,2017-01-09,Id11,Grossiste,5,12
CDE - 0003775,01/03/17,2017-01-15,Id5,Détaillant,1,12
CDE - 0004247,01/03/17,2017-01-14,Id14,Export,1,6
CDE - 0004386,01/03/17,2017-01-08,Id39,Détaillant,4,9
CDE - 0004592,01/03/17,2017-01-06,Id17,Grossiste,4,12
CDE - 0005716,01/03/17,2017-01-08,Id11,Grossiste,13,12
CDE - 0005751,01/03/17,2017-01-21,Id29,Grossiste,10,5
CDE - 0006419,01/03/17,2017-01-18,Id41,Détaillant,4,10
CDE - 0006790,01/03/17,2017-01-13,Id33,Grossiste,1,10
CDE - 0006962,01/03/17,2017-01-10,Id34,Détaillant,4,9
CDE - 0007587,01/03/17,2017-01-06,Id5,Export,6,10
CDE - 0001259,01/04/17,2017-01-11,Id50,Détaillant,1,8
CDE - 0002564,01/04/17,2017-01-13,Id43,Grossiste,4,12
CDE - 0002922,01/04/17,2017-01-15,Id44,Grossiste,1,6
CDE - 0002932,01/04/17,2017-01-12,Id29,Grossiste,1,5
CDE - 0004007,01/04/17,2017-01-13,Id39,Grossiste,9,11
CDE - 0004967,01/04/17,2017-01-09,Id29,Détaillant,3,12
CDE - 0005147,01/04/17,2017-01-18,Id48,Export,10,6
CDE - 0005582,01/04/17,2017-01-11,Id17,Grossiste,14,7
CDE - 0007099,01/04/17,2017-01-20,Id42,Détaillant,5,7
CDE - 000513,01/05/17,2017-01-15,Id35,Détaillant,5,11
CDE - 0001219,01/05/17,2017-01-20,Id20,Grossiste,13,5
CDE - 0001802,01/05/17,2017-01-10,Id9,Détaillant,13,9
CDE - 0003588,01/05/17,2017-01-15,Id26,Export,13,7
CDE - 0005064,01/05/17,2017-01-11,Id31,Détaillant,14,8
CDE - 0005739,01/05/17,2017-01-20,Id37,Grossiste,14,5
CDE - 0001627,01/06/17,2017-01-09,Id47,Détaillant,14,10
CDE - 0002047,01/06/17,2017-01-09,Id46,Grossiste,14,9
CDE - 0003949,01/06/17,2017-01-12,Id10,Grossiste,6,6
CDE - 0003973,01/06/17,2017-01-20,Id4,Grossiste,4,7
CDE - 0004731,01/06/17,2017-01-19,Id47,Détaillant,4,6
CDE - 0005824,01/06/17,2017-01-17,Id21,Grossiste,13,6
CDE - 0006514,01/06/17,2017-01-19,Id36,Grossiste,10,10
CDE - 0006820,01/06/17,2017-01-11,Id20,Grossiste,6,7
CDE - 0007187,01/06/17,2017-01-23,Id12,Grossiste,5,11
CDE - 0006661,01/07/17,2017-01-14,Id35,Grossiste,5,6
CDE - 0006737,01/07/17,2017-01-12,Id21,Grossiste,3,6
CDE - 0007183,01/07/17,2017-01-23,Id13,Détaillant,1,9
CDE - 0002801,01/08/17,2017-01-15,Id7,Détaillant,6,6
CDE - 0005813,01/08/17,2017-01-22,Id41,Grossiste,1,7
CDE - 0007632,01/08/17,2017-01-13,Id41,Détaillant,6,10
CDE - 000992,01/09/17,2017-01-24,Id49,Export,10,7
CDE - 0002398,01/09/17,2017-01-13,Id32,Grossiste,13,12
