N° de Commande,Date de Commande,Date de Livraison,Id Client,Canal,Id Produit,Quantité
CDE - 000300,01/01/18,2018-01-14,38,Grossiste,11,11
CDE - 000461,01/01/18,2018-01-17,50,Détaillant,5,5
CDE - 0001281,01/01/18,2018-01-07,9,Détaillant,1,9
CDE - 0001572,01/01/18,2018-01-09,19,Export,1,5
CDE - 0001736,01/01/18,2018-01-04,46,Détaillant,1,10
CDE - 0002665,01/01/18,2018-01-15,39,Détaillant,5,5
CDE - 0002818,01/01/18,2018-01-19,13,Grossiste,5,11
CDE - 0003233,01/01/18,2018-01-09,10,Détaillant,11,11
CDE - 0006568,01/01/18,2018-01-18,26,Grossiste,7,9
CDE - 000266,01/02/18,2018-01-05,19,Détaillant,5,6
CDE - 000728,01/02/18,2018-01-14,21,Grossiste,7,5
CDE - 0001668,01/02/18,2018-01-17,42,Grossiste,10,8
CDE - 0001932,01/02/18,2018-01-06,29,Détaillant,1,12
CDE - 0003756,01/02/18,2018-01-07,34,Export,11,10
CDE - 0003997,01/02/18,2018-01-20,31,Grossiste,1,12
CDE - 0004432,01/02/18,2018-01-10,26,Détaillant,11,8
CDE - 0006519,01/02/18,2018-01-18,42,Grossiste,13,8
CDE - 0007936,01/02/18,2018-01-13,2,Détaillant,12,5
CDE - 0002604,01/03/18,2018-01-17,48,Grossiste,3,11
CDE - 0002905,01/03/18,2018-01-15,6,Grossiste,5,9
CDE - 0002980,01/03/18,2018-01-21,30,Détaillant,1,11
CDE - 0001668,01/02/18,2018-01-17,42,Grossiste,10,8
CDE - 0007282,01/03/18,2018-01-13,17,Grossiste,4,10
CDE - 0007313,01/03/18,2018-01-08,33,Grossiste,4,7
CDE - 0008042,01/03/18,2018-01-12,11,Export,3,7
CDE - 0003776,01/04/18,2018-01-12,26,Détaillant,11,5
CDE - 0004290,01/04/18,2018-01-20,20,Export,1,6
CDE - 0005158,01/04/18,2018-01-08,20,Grossiste,7,5
CDE - 0006033,01/04/18,2018-01-09,36,Grossiste,2,11
CDE - 0006963,01/04/18,2018-01-13,16,Grossiste,2,6
CDE - 0007294,01/04/18,2018-01-22,40,Détaillant,5,12
CDE - 0007628,01/04/18,2018-01-13,38,Export,5,5
CDE - 000950,01/05/18,2018-01-19,19,Détaillant,1,7
CDE - 0001126,01/05/18,2018-01-14,2,Grossiste,1,10
CDE - 0002070,01/05/18,2018-01-09,50,Détaillant,9,9
CDE - 0002186,01/05/18,2018-01-18,41,Grossiste,13,12
CDE - 0002492,01/05/18,2018-01-22,31,Export,2,5
CDE - 0005193,01/05/18,2018-01-13,30,Détaillant,7,11
CDE - 0005899,01/05/18,2018-01-22,39,Grossiste,6,7
CDE - 0006641,01/05/18,2018-01-09,19,Grossiste,13,6
CDE - 0006877,01/05/18,2018-01-13,43,Détaillant,7,10
CDE - 000544,01/06/18,2018-01-22,15,Grossiste,2,6
CDE - 0003610,01/06/18,2018-01-13,4,Grossiste,5,7
CDE - 0004055,01/06/18,2018-01-24,37,Grossiste,7,9
CDE - 0007273,01/06/18,2018-01-09,12,Détaillant,13,11
CDE - 0007851,01/06/18,2018-01-10,36,Grossiste,9,6
CDE - 000290,01/07/18,2018-01-16,6,Détaillant,2,6
CDE - 000643,01/07/18,2018-01-19,47,Détaillant,7,7
CDE - 0001287,01/07/18,2018-01-17,44,Grossiste,1,11
CDE - 0002641,01/07/18,2018-01-11,2,Grossiste,7,10
CDE - 0003326,01/07/18,2018-01-19,2,Export,11,12
CDE - 0003564,01/07/18,2018-01-21,48,Export,3,8
CDE - 0003793,01/07/18,2018-01-19,22,Grossiste,5,9
CDE - 0006694,01/07/18,2018-01-14,50,Détaillant,1,9
CDE - 0007673,01/07/18,2018-01-24,3,Grossiste,5,5
CDE - 0001028,01/08/18,2018-01-20,24,Détaillant,11,7
CDE - 0002768,01/08/18,2018-01-13,18,Grossiste,9,11
